id	node	link	layer	offset	easting	northing	elevation	tag	notes
196998	667718	3094006	AUTO/BUS/WALK	11.057206	739239.330379	4776305.188266	0.000000	Shop	convenience
197001	603129	3133424	AUTO/BUS/WALK	100.446007	739228.479438	4776271.915455	0.000000	Shop	car_parts
197004	667724	3083230	AUTO/BUS/WALK	20.935584	739197.655088	4776370.610851	0.000000	Amenity	waste_disposal
197008	603053	3133409	AUTO/BUS/WALK	10.998277	739329.893039	4776218.486324	0.000000	Shop	hardware
197010	667718	3094006	AUTO/BUS/WALK	7.651204	739236.275700	4776307.949953	0.000000	Amenity	waste_basket
197013	8794	3103489	AUTO/BUS/WALK	27.486944	739298.478228	4776071.860165	0.000000	Shop	hardware
197015	667724	3083230	AUTO/BUS/WALK	23.664129	739196.196104	4776368.302364	0.000000	Amenity	waste_disposal
197017	667715	3122617	AUTO/BUS/WALK	29.712386	739217.047388	4776336.709050	0.000000	Amenity	bench
197022	8883	3124983	AUTO/BUS/WALK	47.683446	738903.899254	4777235.249773	0.000000	Amenity	fast_food
197024	603550	3136537	AUTO/BUS/WALK	12.863308	739252.593080	4776427.614494	0.000000	Amenity	waste_basket
197026	667715	3122617	AUTO/BUS/WALK	11.677174	739200.526924	4776345.191931	0.000000	Amenity	bench
197029	18095	3103589	AUTO/BUS/WALK	22.956695	739408.674183	4776176.606683	0.000000	Shop	greengrocer
197031	667715	3122617	AUTO/BUS/WALK	16.977207	739205.865158	4776343.066338	0.000000	Amenity	bench
197035	101897	3135842	AUTO/BUS/WALK	52.508703	738856.641236	4777263.305155	0.000000	Amenity	fast_food
197042	667835	3093992	AUTO/BUS/WALK	10.337937	738839.479141	4776454.026846	0.000000	Shop	greengrocer
197046	77881	3091548	AUTO/BUS/WALK	54.463152	739020.970983	4777097.033648	0.000000	Shop	car_parts
197051	502129	3058022	AUTO/BUS/WALK	35.412756	734424.846702	4777909.897504	0.000000	Amenity	cafe
197103	907658	3133564	AUTO/BUS/WALK	9.705850	739549.551460	4776366.498382	0.000000	Shop	greengrocer
197106	75532	3134826	AUTO/BUS/WALK	16.573919	739090.119904	4777931.946349	0.000000	Amenity	boat_rental
197110	650753	3122744	AUTO/BUS/WALK	20.514538	740189.425306	4777613.838451	0.000000	Amenity	bar
197135	530815	3108946	AUTO/BUS/WALK	68.196015	737414.343240	4783169.733835	0.000000	Shop	supermarket
197138	979389	3080725	AUTO/BUS/WALK	16.083767	737244.378947	4782602.242656	0.000000	Amenity	pharmacy
197143	775589	3100445	AUTO/BUS/WALK	44.807751	736411.811804	4779043.695491	0.000000	Shop	supermarket
197147	180833	3123405	AUTO/BUS/WALK	40.169444	736546.404889	4781724.208992	0.000000	Shop	supermarket
197150	862448	3094009	AUTO/BUS/WALK	14.267564	739296.667894	4776273.641332	0.000000	Amenity	clinic
197154	499778	3058020	AUTO/BUS/WALK	12.999543	734524.282063	4777887.589430	0.000000	Shop	books
197156	501929	3058024	AUTO/BUS/WALK	42.868447	734326.844026	4777947.178124	0.000000	Amenity	fountain
197161	656160	3117284	AUTO/BUS/WALK	25.830119	736521.008876	4781745.854435	0.000000	Amenity	cafe
197170	500590	3058822	AUTO/BUS/WALK	31.068593	734395.461014	4778158.177799	0.000000	Amenity	car_rental
197175	880365	3055783	AUTO/BUS/WALK	25.481442	738440.610960	4777534.356089	0.000000	Amenity	kindergarten
197179	7882	3054296	AUTO/BUS/WALK	37.635790	738680.139725	4777713.360921	0.000000	Shop	beauty
197183	512807	3055785	AUTO/BUS/WALK	11.826196	738466.632320	4777541.304535	0.000000	Shop	convenience
