	Unnamed: 0	name	cat	address	emp	vac	lat	lon	district
905	905	"ООО ""СИА Интернейшнл-Владивосток"""	Деятельность агентов, специализирующихся на оптовой торговле фармацевтической продукцией, изделиями, применяемыми в медицинских целях, парфюмерными и косметическими товарами, включая мыло, и чистящими средствами…	690105, г Владивосток, ул Русская, д. 94, Обязателен предварительный звонок. При себе иметь паспорт.	3	0	43.17513	131.9414	Советский
906	906	"ООО ""Си-Айс"""	Производство текстильных изделий	690033, г Владивосток, ул Иртышская, д. 12	18	0	43.1604698	131.918972	Первореченский
907	907	"ООО ""Сил Бет"""	Производство изделий из бетона для использования в строительстве…	692485, р-н Надеждинский, п Раздольное, ул Горького, д. 2	84	0	43.5685605	131.9351074	
908	908	"ООО ""СИНЕМА"""	Деятельность в области демонстрации кинофильмов…	690039, г Владивосток, пр-кт 100 лет Владивостоку, д. 103, офис 23	57	0	43.1625466	131.9115033	Первореченский
909	909	"ООО ""Синнабон-Прим"""	Деятельность ресторанов и услуги по доставке продуктов питания	690080, г Владивосток, ул Борисенко, д. 46	40	0	43.0936941	131.9531664	Первомайский
910	910	"ООО ""Синхром"""	Работы строительные отделочные…	692905, г Находка, пр-кт Северный, д. 75/1, Собеседование по адресу: г. Вл-ок Океанский пр., 69 офис 501, каждый вторник с 11:00 до 12:00, ОБЯЗАТЕЛЬНА ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ПО ТЕЛЕФОНУ;	18	0	58.1472266	41.5945212	
911	911	"ООО ""СИТИ ТАНДЕМ"""	Строительство жилых и нежилых зданий…	690024, г Владивосток, ул Вавилова, д. 42, Собеседования по адресу: г. Вл-ок, Океанский пр., 69, офис 501 каждый вторник с 11:00 до 12:00; предварительно звонить по телефону;	1	17	43.1164904	131.8823937	Советский
912	912	"ООО ""СК ""АМУР"""	Строительство жилых и нежилых зданий…	690001, г Владивосток, ул Муравьева-Амурского, д. 1Б	16	5	43.1099172	131.9226717	Ленинский
913	913	"ООО ""СК"" ДАЛЬЛИФТ"""	Ремонт машин и оборудования	690013, г Владивосток, ул Владикавказская, д. 5	90	0	43.1108672	131.9433994	Ленинский
914	914	"ООО ""Скайлайн"""	Производство штукатурных работ…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, Собеседование каждый вторник с 10 до 11 час.	79	9	43.1286497	131.8921162	Фрунзенский
915	915	"ООО ""СКЛАД ДВ"""	Лесозаготовки…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, собеседования по предварительной записи по телефону	7	2	43.1286497	131.8921162	Фрунзенский
916	916	"ООО ""Складские технологии"""	Деятельность по складированию и хранению	690087, г Владивосток, ул Руднева, д. 14, корп. г, офис 12	2	0	43.1332501	131.9569677	Первореченский
917	917	"ООО ""СМВ"""	Торговля автотранспортными средствами…	690024, г Владивосток, ул Маковского, д. 224	245	1	43.2311491	132.0199657	Советский
918	918	"ООО ""СМП Владивосток"""	Деятельность вспомогательная, связанная с морским транспортом	690003, г Владивосток, ул Верхнепортовая, д. 41, офис 201	38	1	43.10115	131.866	Фрунзенский
919	919	"ООО ""СМР-В"""	Деятельность стоянок для транспортных средств…	690087, г Владивосток, ул Снеговая, д. 5, корп. А	220	0	43.1377567	131.9326973	Первореченский
920	920	"ООО ""Снежинка"""	Стирка и химическая чистка текстильных и меховых изделий	690033, г Владивосток, ул Гамарника, д. 3, корп. а	39	0	43.162525	131.91624	Первореченский
921	921	"ООО ""СОЛЛЕРС - Дальний Восток"""	Производство машин и оборудования общего назначения	690001, г Владивосток, ул Дальзаводская, д. 2, производстенный корпус №14	676	0	43.112048	131.9124974	Ленинский
922	922	"ООО ""СОЛЛЕРС-БУССАН"""	Производство машин и оборудования общего назначения	690001, г Владивосток, ул Дальзаводская, д. 2	10	0	43.112048	131.9124974	Ленинский
923	923	"ООО ""СОЮЗ"""	Торговля розничная в нестационарных торговых объектах и на рынках текстилем, одеждой и обувью…	690001, г Владивосток, ул Светланская, д. 145, офис 2	65	1	43.1126578	131.9177117	Ленинский
924	924	"ООО ""СОЮЗ-ПРИМ"""	Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, кадровая служба и собеседование с предварительной записью по телефону	2	0	43.1286497	131.8921162	Фрунзенский
925	925	"ООО ""Спортивный клуб ""Полюс"""	Деятельность в области спорта	690087, г Владивосток, ул Деревенская, д. 20, офис 323	40	0	43.1361349	131.9308706	Первореченский
926	926	"ООО ""СТАНДАРТ"""	Строительство жилых и нежилых зданий…	690074, г Владивосток, ул Выселковая, д. 39, офис 216, Приём граждан на собеседование с предварительной записью по телефону;	2	0	43.1455061	131.9472496	Первореченский
927	927	"ООО ""СТАТУС"""	Лесоводство и прочая лесохозяйственная деятельность…	690074, г Владивосток, ул Выселковая, д. 39, офис 218, Прием граждан на собеседование с предварительной записью по телефону	11	1	43.1455061	131.9472496	Первореченский
928	928	"ООО ""СтаффКом"""	Деятельность ресторанов и кафе с полным ресторанным обслуживанием, кафетериев, ресторанов быстрого питания и самообслуживания…	690005, г Владивосток, ул Луговая, д. 21, корп. А, офис 469, 4-й этаж, переход на ул. Луговая, собеседование по предварительному согласованию по телефону 89147029555	34	0	43.1113701	131.936711	
929	929	"ООО ""СТГ-ВОСТОК"""	Строительство жилых и нежилых зданий…	690091, г Владивосток, пр-кт Океанский, д. 17, офис 608, 6 этаж	1457	29	43.1194446	131.8864772	Фрунзенский
930	930	"ООО ""Строительно-монтажное управление №4"""	Работы бетонные и железобетонные	690106, г Владивосток, пр-кт Красного Знамени, д. 10, офис 617	59	0	43.1290083	131.8900767	
931	931	"ООО ""СТРОЙ МАСТЕР"""	Производство прочих деревянных строительных конструкций и столярных изделий…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 501, СОБЕСЕДОВАНИЕ ПО АДРЕСУ: г. Владивосток, Океанский пр-т,д.69, офис 501, КАЖДЫЙ ВТОРНИК С 10-11, ОБЯЗАТЕЛЬНА ПРЕДВАРИТЕЛЬНАЯ ЗАПИСЬ ПО ТЕЛЕФОНУ	1	14	43.1286497	131.8921162	Фрунзенский
932	932	"ООО ""СТРОЙ ПОДРЯД - М"""	Производство электромонтажных, санитарно-технических и прочих строительно-монтажных работ	690048, г Владивосток, пр-кт 100 лет Владивостоку, д. 57, корп. д	90	0	43.15704	131.91069	Первореченский
933	933	"ООО ""Стройкомплекс-ДВ"""	Строительство жилых и нежилых зданий	690014, г Владивосток, пр-кт Красного Знамени, д. 66, корп. Б	60	2	43.125735	131.908985	
934	934	"ООО ""СТРОЙПРЕМИУМ"""	Строительство жилых и нежилых зданий	690014, г Владивосток, ул Некрасовская, д. 90, собеседование и прием соискателей	10	5	43.1294232	131.9121204	
935	935	"ООО ""СТРОЙСНАБ"""	Деятельность агентов по оптовой торговле строительными материалами…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 504, кадровая служба и собеседование с предварительной записью по телефону	1	0	43.1286497	131.8921162	Фрунзенский
936	936	"ООО ""Сфера Менеджмент"""	Деятельность головных офисов…	690003, г Владивосток, ул Нижнепортовая, д. 3, офис 14	139	9	43.1088042	131.8814937	Фрунзенский
937	937	"ООО ""СЫНРИ"""	Строительство жилых и нежилых зданий	690069, г Владивосток, пр-кт 100-летия Владивостока, д. 116, офис 1-27	1	0	43.1749721	131.9191769	Советский
